study,Number.of.Event.in.arm.1,Number.of.Event.in.arm.2,Number.of.Event.in.arm.3,Number.of.Event.in.arm.4,Total.number.in.arm.1,Total.number.in.arm.2,Total.number.in.arm.3,Total.number.in.arm.4,Total,Arm.1,Arm.2,Arm.3,Arm.4,Number.of.arms,Arm1,Arm2,Arm3,Arm4
1,11,10,13,48,31,28,29,100,188,A,B,C,D,4,1,2,3,4
2,17,22,NA,NA,81,81,NA,NA,162,A,B,NA,NA,2,1,2,NA,NA
3,12,16,NA,NA,102,104,NA,NA,206,A,B,NA,NA,2,1,2,NA,NA
4,62,65,NA,NA,104,110,NA,NA,214,A,C,NA,NA,2,1,3,NA,NA
5,2,4,NA,NA,38,38,NA,NA,76,A,B,NA,NA,2,1,2,NA,NA
6,10,6,NA,NA,37,38,NA,NA,75,A,B,NA,NA,2,1,2,NA,NA
7,49,47,NA,NA,109,105,NA,NA,214,A,B,NA,NA,2,1,2,NA,NA
8,54,54,NA,NA,60,60,NA,NA,120,A,C,NA,NA,2,1,3,NA,NA
9,52,54,NA,NA,54,54,NA,NA,198,A,C,NA,NA,2,1,3,NA,NA
10,28,56,NA,NA,71,121,NA,NA,192,A,C,NA,NA,2,1,3,NA,NA
11,28,57,NA,NA,71,139,NA,NA,210,A,C,NA,NA,2,1,3,NA,NA
12,98,72,NA,NA,228,143,NA,NA,371,A,C,NA,NA,2,1,3,NA,NA
13,98,21,NA,NA,228,70,NA,NA,298,A,C,NA,NA,2,1,3,NA,NA
14,31,23,NA,NA,88,91,NA,NA,179,A,C,NA,NA,2,1,3,NA,NA
15,35,35,NA,NA,85,94,NA,NA,179,A,C,NA,NA,2,1,3,NA,NA
16,13,7,NA,NA,28,19,NA,NA,47,A,C,NA,NA,2,1,3,NA,NA
