"Mean","SD","2.5%","50%","97.5%"
1,0,1,1,1
1.131,0.204,0.799,1.089,1.646
1.097,0.217,0.739,1.061,1.626
0.971,0.175,0.625,0.975,1.356
0.976,0.089,0.788,0.982,1.159
1.32,0.363,0.864,1.228,2.244
0.91,0.155,0.608,0.918,1.252
1,0,1,1,1
0.993,0.237,0.593,0.979,1.571
0.884,0.223,0.478,0.888,1.369
0.888,0.17,0.553,0.898,1.251
1.183,0.322,0.751,1.104,2.013
0.944,0.182,0.615,0.943,1.353
1.062,0.261,0.637,1.021,1.686
1,0,1,1,1
0.917,0.249,0.481,0.919,1.463
0.922,0.197,0.561,0.924,1.356
1.226,0.343,0.772,1.137,2.128
1.066,0.215,0.737,1.026,1.601
1.207,0.346,0.731,1.126,2.093
1.172,0.355,0.684,1.089,2.077
1,0,1,1,1
1.04,0.23,0.676,1.007,1.595
1.413,0.538,0.809,1.267,2.798
1.034,0.098,0.862,1.018,1.269
1.17,0.249,0.8,1.113,1.808
1.135,0.262,0.737,1.083,1.782
1.003,0.207,0.627,0.993,1.48
1,0,1,1,1
1.367,0.42,0.867,1.255,2.427
0.804,0.188,0.446,0.814,1.157
0.896,0.215,0.497,0.906,1.331
0.868,0.21,0.47,0.879,1.295
0.781,0.233,0.357,0.79,1.236
0.785,0.198,0.412,0.797,1.153
1,0,1,1,1
1,0,1,1,1
1.131,0.204,0.799,1.089,1.646
1.097,0.217,0.739,1.061,1.626
0.971,0.175,0.625,0.975,1.356
0.976,0.089,0.788,0.982,1.159
1.32,0.363,0.864,1.228,2.244
0.444,0.251,0.05,0.424,0.911
0.484,0.257,0.058,0.478,0.93
0.473,0.257,0.053,0.464,0.928
0.432,0.254,0.045,0.408,0.911
0.435,0.252,0.047,0.414,0.909
0.538,0.259,0.072,0.552,0.95
0.085,0.279,0,0,1
0.077,0.266,0,0,1
0.136,0.343,0,0,1
0.406,0.491,0,0,1
0.267,0.443,0,0,1
0.029,0.169,0,0,1
0,0,0,0,0
0.216,0.28,-0.347,0.217,0.764
0.156,0.314,-0.448,0.154,0.79
-0.067,0.296,-0.661,-0.065,0.513
-0.047,0.148,-0.345,-0.046,0.241
0.512,0.39,-0.263,0.513,1.292
0,0,0,0,0
0.216,0.28,-0.347,0.217,0.764
0.156,0.314,-0.448,0.154,0.79
-0.067,0.296,-0.661,-0.065,0.513
-0.047,0.148,-0.345,-0.046,0.241
0.512,0.39,-0.263,0.513,1.292
-0.216,0.28,-0.764,-0.217,0.347
0,0,0,0,0
-0.06,0.391,-0.813,-0.066,0.746
-0.283,0.405,-1.074,-0.289,0.531
-0.263,0.313,-0.886,-0.262,0.365
0.296,0.418,-0.497,0.293,1.126
-0.156,0.314,-0.79,-0.154,0.448
0.06,0.391,-0.746,0.066,0.813
0,0,0,0,0
-0.223,0.431,-1.097,-0.215,0.614
-0.203,0.348,-0.909,-0.199,0.464
0.356,0.418,-0.463,0.357,1.186
0.067,0.296,-0.513,0.065,0.661
0.283,0.405,-0.531,0.289,1.074
0.223,0.431,-0.614,0.215,1.097
0,0,0,0,0
0.019,0.33,-0.628,0.02,0.672
0.578,0.489,-0.394,0.578,1.565
0.047,0.148,-0.241,0.046,0.345
0.263,0.313,-0.365,0.262,0.886
0.203,0.348,-0.464,0.199,0.909
-0.019,0.33,-0.672,-0.02,0.628
0,0,0,0,0
0.559,0.416,-0.26,0.562,1.389
-0.512,0.39,-1.292,-0.513,0.263
-0.296,0.418,-1.126,-0.293,0.497
-0.356,0.418,-1.186,-0.357,0.463
-0.578,0.489,-1.565,-0.578,0.394
-0.559,0.416,-1.389,-0.562,0.26
0,0,0,0,0
1,0,1,1,1
1.29,0.367,0.707,1.242,2.147
1.229,0.416,0.639,1.167,2.204
0.977,0.297,0.516,0.937,1.67
0.964,0.144,0.708,0.955,1.273
1.801,0.751,0.769,1.67,3.642
0.838,0.244,0.466,0.805,1.415
1,0,1,1,1
1.019,0.442,0.444,0.937,2.108
0.819,0.361,0.342,0.749,1.7
0.807,0.264,0.412,0.769,1.441
1.469,0.669,0.608,1.341,3.082
0.898,0.291,0.454,0.857,1.566
1.145,0.464,0.474,1.068,2.254
1,0,1,1,1
0.878,0.408,0.334,0.806,1.848
0.866,0.313,0.403,0.82,1.591
1.557,0.691,0.629,1.429,3.275
1.117,0.349,0.599,1.067,1.937
1.439,0.611,0.588,1.334,2.927
1.375,0.666,0.541,1.24,2.995
1,0,1,1,1
1.077,0.379,0.534,1.02,1.958
2.014,1.11,0.674,1.783,4.785
1.06,0.159,0.786,1.047,1.412
1.366,0.441,0.694,1.3,2.424
1.304,0.497,0.629,1.22,2.483
1.036,0.356,0.511,0.98,1.873
1,0,1,1,1
1.909,0.866,0.771,1.754,4.009
0.647,0.273,0.275,0.599,1.301
0.812,0.364,0.324,0.746,1.644
0.765,0.349,0.305,0.7,1.589
0.633,0.351,0.209,0.561,1.483
0.624,0.282,0.249,0.57,1.297
1,0,1,1,1
1.611,1.653,0.039,1.103,6.084
1.511,1.592,0.039,1.004,5.895
2,1.995,0.051,1.388,7.328
1.942,1.629,0.153,1.506,6.257
2.2,1.777,0.105,1.773,6.791
1.785,1.821,0.047,1.222,6.748
1.165,1.428,0.018,0.658,5.184
3.905,1.647,1.967,3.452,8.417
2.014,1.8,0.078,1.535,6.788
1.495,1.609,0.033,0.985,5.867
2.519,2.158,0.084,1.962,8.064
3.048,2.295,0.127,2.592,8.516
2.327,1.886,0.103,1.911,7.007
1.489,1.583,0.035,0.992,5.829
1.464,1.525,0.058,0.973,5.616
3.293,2.34,0.389,2.772,9.221
2.818,1.017,1,3,5
4.179,1.452,1,5,6
3.756,1.58,1,4,6
2.519,1.592,1,2,6
2.442,1.243,1,2,5
5.286,1.232,1,6,6
0.22,0.14,0.019,0.2,0.548
33.769,7.174,21.002,33.23,49.243
