"Number.of.Event.in.arm.1","Number.of.Event.in.arm.2","Total.number.in.arm.1","Total.number.in.arm.2","Arm.1","Arm.2","Arm1","Arm2","rms","Comparison"
17,22,81,81,"Placebo","bovoculi_C_licenced",1,2,2,"2vs1"
12,16,102,104,"Placebo","bovoculi_C_licenced",1,2,2,"2vs1"
62,65,104,110,"Placebo","bovis_licenced",1,3,2,"3vs1"
2,4,38,38,"Placebo","bovoculi_autogenous",1,4,2,"4vs1"
10,6,37,38,"Placebo","bovoculi_autogenous",1,4,2,"4vs1"
49,47,109,105,"Placebo","bovoculi_autogenous",1,4,2,"4vs1"
54,54,60,60,"Placebo","bovis_autogenous",1,5,2,"5vs1"
52,54,54,54,"Placebo","bovis_autogenous",1,5,2,"5vs1"
28,56,71,121,"Placebo","bovis_autogenous",1,5,2,"5vs1"
28,57,71,139,"Placebo","bovis_autogenous",1,5,2,"5vs1"
98,72,228,143,"Placebo","bovis_autogenous",1,5,2,"5vs1"
98,21,228,70,"Placebo","bovis_autogenous",1,5,2,"5vs1"
31,23,88,91,"Placebo","bovis_autogenous",1,5,2,"5vs1"
35,35,85,94,"Placebo","bovis_autogenous",1,5,2,"5vs1"
13,7,28,19,"Placebo","bovis_autogenous",1,5,2,"5vs1"
11,10,31,28,"Placebo","bovoculi_C_licenced",1,2,2,"2vs1"
11,13,31,29,"Placebo","bovis_licenced",1,3,2,"3vs1"
11,48,31,100,"Placebo","both",1,6,2,"6vs1"
10,13,28,29,"bovoculi_C_licenced","bovis_licenced",2,3,2,"3vs2"
10,48,28,100,"bovoculi_C_licenced","both",2,6,2,"6vs2"
13,48,29,100,"bovis_licenced","both",3,6,2,"6vs3"
